"Expert","Biodiversity","Estimate","Scenario","Value"
"6","Evening Grosbeak","HIGHEST","Counterfactual",NA
"6","Evening Grosbeak","BEST GUESS","Counterfactual",NA
"7","Bull Trout","LOWEST","Counterfactual","10"
"7","Bull Trout","HIGHEST","Counterfactual","50"
"7","Bull Trout","BEST GUESS","Counterfactual","35"
"7","Rainbow Trout","LOWEST","Counterfactual","20"
"7","Rainbow Trout","HIGHEST","Counterfactual","50"
"7","Rainbow Trout","BEST GUESS","Counterfactual","30"
"7","Western Toad","LOWEST","Counterfactual","40"
"7","Western Toad","HIGHEST","Counterfactual","75"
"7","Western Toad","BEST GUESS","Counterfactual","60"
"7","Barn Swallow","LOWEST","Counterfactual","75"
"7","Barn Swallow","HIGHEST","Counterfactual","95"
"7","Barn Swallow","BEST GUESS","Counterfactual","85"
"7","Olive-sided Flycatcher","LOWEST","Counterfactual","30"
"7","Olive-sided Flycatcher","HIGHEST","Counterfactual","70"
"7","Olive-sided Flycatcher","BEST GUESS","Counterfactual","50"
"7","Common Nighthawk","LOWEST","Counterfactual","40"
"7","Common Nighthawk","HIGHEST","Counterfactual","80"
"7","Common Nighthawk","BEST GUESS","Counterfactual","70"
"7","Short-eared Owl","LOWEST","Counterfactual","0"
"7","Short-eared Owl","HIGHEST","Counterfactual","25"
"7","Short-eared Owl","BEST GUESS","Counterfactual","10"
"7","Harris's Sparrow","LOWEST","Counterfactual","10"
"7","Harris's Sparrow","HIGHEST","Counterfactual","30"
"7","Harris's Sparrow","BEST GUESS","Counterfactual","20"
"7","Bank Swallow","LOWEST","Counterfactual","25"
"7","Bank Swallow","HIGHEST","Counterfactual","80"
"7","Bank Swallow","BEST GUESS","Counterfactual","70"
"7","Rusty Blackbird","LOWEST","Counterfactual","0"
"7","Rusty Blackbird","HIGHEST","Counterfactual","30"
"7","Rusty Blackbird","BEST GUESS","Counterfactual","15"
"7","Northern Myotis","LOWEST","Counterfactual","60"
"7","Northern Myotis","HIGHEST","Counterfactual","90"
"7","Northern Myotis","BEST GUESS","Counterfactual","80"
"7","Little Brown Myotis","LOWEST","Counterfactual","60"
"7","Little Brown Myotis","HIGHEST","Counterfactual","90"
"7","Little Brown Myotis","BEST GUESS","Counterfactual","80"
"7","Wolverine","LOWEST","Counterfactual","20"
"7","Wolverine","HIGHEST","Counterfactual","40"
"7","Wolverine","BEST GUESS","Counterfactual","30"
"7","Grizzly Bear","LOWEST","Counterfactual","60"
"7","Grizzly Bear","HIGHEST","Counterfactual","100"
"7","Grizzly Bear","BEST GUESS","Counterfactual","80"
"7","Transverse Lady Beetle","LOWEST","Counterfactual",NA
